Script_ForceGossip 0xDEC580
Script_GetNumSubgroupMembers 0xDEFB20
Script_GetNumGroupMembers 0xDEFBA0
Script_UnitIsGroupLeader 0xDEFC20
Script_UnitLeadsAnyGroup 0xDEFD40
Script_UnitIsGroupAssistant 0xDEFE50
Script_IsGUIDInGroup 0xDEFF50
Script_IsInGroup 0xDF0060
Script_IsInGuildGroup 0xDF00D0
Script_IsInRaid 0xDF0160
Script_ConvertToRaid 0xDF01F0
Script_ConvertToParty 0xDF0280
Script_GetLootMethod 0xDF0310
Script_SetLootMethod 0xDF0500
Script_GetLootThreshold 0xDF0840
Script_SetLootThreshold 0xDF0890
Script_LeaveParty 0xDF09D0
Script_SetOptOutOfLoot 0xDF0A00
Script_GetOptOutOfLoot 0xDF0A80
Script_InviteUnit 0xDF0AA0
Script_UninviteUnit 0xDF0BA0
Script_AcceptGroup 0xDF0DD0
Script_DeclineGroup 0xDF0E50
Script_GetPartyAssignment 0xDF0EA0
Script_GetRaidRosterInfo 0xDF0F70
Script_SetRaidSubgroup 0xDF13E0
Script_SwapRaidSubgroup 0xDF14E0
Script_PromoteToLeader 0xDF1610
Script_PromoteToAssistant 0xDF16E0
Script_DemoteAssistant 0xDF17C0
Script_RequestRaidInfo 0xDF18A0
Script_SetEveryoneIsAssistant 0xDF18C0
Script_IsEveryoneAssistant 0xDF1950
Script_DoReadyCheck 0xDF19A0
Script_GetReadyCheckTimeLeft 0xDF1A50
Script_ConfirmReadyCheck 0xDF1AE0
Script_GetReadyCheckStatus 0xDF1B80
Script_UnitInOtherParty 0xDF1CC0
Script_IsMasterLooter 0xDF1E80
Script_GetHomePartyInfo 0xDF1F40
Script_GetGroupMemberCounts 0xDF20E0
Script_GroupHasOfflineMember 0xDF23B0
Script_GetPendingInviteConfirmations 0xDF24B0
Script_GetNextPendingInviteConfirmation 0xDF2560
Script_GetInviteConfirmationInfo 0xDF25C0
Script_GetInviteReferralInfo 0xDF26D0
Script_RespondToInviteConfirmation 0xDF2790
Script_JoinBattlefield 0xDFC400
Script_SetSelectedBattlefield 0xDFC600
Script_GetSelectedBattlefield 0xDFC680
Script_AcceptBattlefieldPort 0xDFC6D0
Script_GetBattlefieldStatus 0xDFC8F0
Script_GetBattlefieldPortExpiration 0xDFCE00
Script_GetBattlefieldInstanceExpiration 0xDFCEC0
Script_GetBattlefieldInstanceRunTime 0xDFCF20
Script_GetBattlefieldEstimatedWaitTime 0xDFCF70
Script_GetBattlefieldTimeWaited 0xDFD020
Script_RequestBattlefieldScoreData 0xDFD0D0
Script_BattlefieldSetPendingReportTarget 0xDFD190
Script_GetNumBattlefieldScores 0xDFD160
Script_GetBattlefieldScore 0xDFD220
Script_GetBattlefieldWinner 0xDFD5C0
Script_SetBattlefieldScoreFaction 0xDFD600
Script_LeaveBattlefield 0xDFD860
Script_InActiveBattlefield 0xDFD8D0
Script_GetNumBattlefieldStats 0xDFD650
Script_GetBattlefieldStatInfo 0xDFD680
Script_GetBattlefieldStatData 0xDFD7A0
Script_GetNumBattlefieldFlagPositions 0xDFD980
Script_GetBattlefieldFlagPosition 0xDFD9B0
Script_CanJoinBattlefieldAsGroup 0xDFDC00
Script_GetBattlefieldMapIconScale 0xDFDC70
Script_GetBattlefieldTeamInfo 0xDFDCF0
Script_SortBattlefieldScoreData 0xDFDE10
Script_HearthAndResurrectFromArea 0xDFE140
Script_CanHearthAndResurrectFromArea 0xDFE160
Script_GetNumBattlefields 0xDFE280
Script_GetBattlefieldInstanceInfo 0xDFE2B0
Script_GetBattlegroundInfo 0xDFE330
